Município;UF;Índice de Progresso Social;ÁREA km²;PIB PER CAPITA;Necessidades Humanas Básicas;Fundamentos do Bem-estar;Oportunidades;Nutrição e Cuidados Médicos Básicos;Água e Saneamento;Moradia;Segurança Pessoal;Acesso ao Conhecimento Básico;Acesso à Informação e Comunicação;Saúde e Bem-estar;Qualidade do Meio Ambiente;Direitos Individuais;Liberdades Individuais e de Escolha;Inclusão Social;Acesso à Educação Superior;Cobertura Vacinal (Poliomielite);Hospitalizações por Condições Sensíveis à Atenção Primária;Mortalidade Ajustada por Condições Sensíveis à Atenção Primária;Mortalidade Infantil até 5 Anos;Subnutrição;Abastecimento de Água via Rede de Distribuição;Esgotamento Sanitário Adequado;Índice de Abastecimento de Água;Índice de Perdas de Água na Distribuição;Domicílios com Coleta de Resíduos Adequada;Domicílios com Iluminação Elétrica Adequada;Domicílios com Paredes Adequadas;Domicílios com Piso Adequado;Assassinatos de Jovens;Assassinatos de Mulheres;Homicídios;Mortes por Acidente de Transporte;Abandono no Ensino Fundamental;Abandono no Ensino Médio;Evasão no Ensino Médio;Distorção Idade-Série no Ensino Médio;Ideb Ensino Fundamental;Reprovação Escolar no Ensino Médio;Cobertura de Internet Móvel (4G/5G);Densidade de Internet Banda Larga Fixa;Densidade de Telefonia Móvel;Qualidade de Internet Móvel;Expectativa de Vida;Mortalidade entre 15 e 50 anos;Mortalidade por Doenças Crônicas Não Transmissíveis;Obesidade;Suicídios;Consumo de Alimentos Ultraprocessados;Áreas Verdes Urbanas;Emissões de CO?e por Habitante;Focos de Calor;Índice de Vulnerabilidade Climática dos Municípios;Supressão da Vegetação Primária e Secundária;Acesso a Programas de Direitos Humanos;Existência de Ações para Direitos de Minorias;Índice de Atendimento à Demanda de Justiça;Taxa de Congestionamento Líquido de Processos;Resposta a Processos Previdenciários;Resposta a Processos Familiares;Acesso à Cultura, Lazer e Esporte;Gravidez na Adolescência (<19 anos);Índice de Vulnerabilidade das Famílias do CadÚnico (IVCAD);Praças e Parques em Áreas Urbanas;Paridade de Gênero na Câmara Municipal;Paridade de Negros na Câmara Municipal;Violência contra Indígenas;Violência contra Mulheres;Violência contra Negros;Famílias em Situação de Rua;Empregados com Ensino Superior;Mulheres Empregadas com Ensino Superior;Nota Mediana do Enem
Cipó;BA;57,01;168,33;8775,98;68,86;57,59;44,58;70,36;61,23;86,92;56,92;57,77;59,44;56,38;56,75;20,92;51,52;78,4;27,47;83,28;1100,91;158,04;21,85;4,3;66,71;14,04;72,96;28,46;62,47;89,79;77,39;99,34;54,59;3,78;22,05;15,09;7,42;6,93;8,55;46,67;3,93;6,7;96,32;0,95;68,96;89,48;69,62;2,48;406,15;14,99;7,25;64,64;2,54;4,38;0;50,02;39,52;8;0;64;83;1156,68;1435,63;4;14,64;0,3;1,23;0,36;0,96;0;14,16;15,65;2,69;32,67;45,79;494,09
Coaraci;BA;54,84;274,5;10896,84;68,03;53,65;42,84;64,62;89,33;95,31;22,85;55,79;60,81;40,88;57,1;16,11;47,82;64,9;42,53;80,8;802,79;186,66;17,24;6,8;91,58;97,03;89,35;21,82;91,85;96,28;91,54;98,15;208,57;5,51;72,62;8,08;8,6;8,57;8,1;44,13;3,88;7,85;88,49;2,43;76,06;94,47;70,69;3,97;460,05;26,02;12,98;75,9;1,61;2,96;0;54,96;17,91;3;4;56,5;85;2486;2488,8;2;23,21;0,28;1,39;0,55;0,88;47,17;39,69;21,65;4,79;57,91;71,25;533,28
Cocos;BA;55,43;10140,57;28458,3;71,61;50,06;44,61;71,95;64,67;80,18;69,64;60,05;44,35;65,95;29,89;18,16;48,27;88,2;23,8;81,14;2507,62;110,39;16,72;4,59;53,93;12,35;100;30,27;48,87;85,68;76,98;89,36;17,54;3,56;7,31;21,93;2,8;10,98;13,08;42,95;4,43;7,53;56,54;0,43;41,38;89,24;73,28;2,19;297,62;11,59;9,4;73,45;2,14;181,24;303,38;52,73;15,3;1;6;158;67;4205,65;1349,79;1;15,44;0,31;1,8;0,36;0,7;0;0;17,76;1,13;30,8;39,9;473,61
Conceição da Feira;BA;55,38;164,8;17619,43;63,12;58,42;44,58;71,74;70,16;85,16;25,42;60,31;62,72;54,13;56,52;36;53,1;66,81;22,43;71,08;447,73;156,73;17,86;3,46;85,79;27,56;82,28;43,88;75,71;92,97;89,91;80,25;178,03;6,86;66,35;8,65;2,13;7,55;9,68;47,87;3,77;12,82;98,94;0,21;79,7;92,2;70,93;3,32;381,78;18,35;6,01;51,56;1,96;3,98;1,44;54,27;20,23;5;9;114;47;1720,95;1094,62;6;14,19;0,3;0,69;0,36;0,89;0;107,89;76,5;2,01;27,8;31,31;476,88
Conceição do Almeida;BA;53,93;284,84;12464,4;64,69;60,63;36,46;67,47;52,72;84,02;54,54;63,81;63,34;56,51;58,87;16,65;48,83;62,96;17,42;97,06;1282,68;185,48;31,63;4,69;46,49;41,22;57,18;32,92;59,66;86,2;74,96;96,59;78,74;6,06;27,86;25,33;3,85;8,72;6,97;37,38;3,56;2,67;93,68;6,13;90,96;83,1;73,31;2,52;453,15;24,01;8,86;39,76;2,6;7,6;0;48,87;10,01;5;0;95;60;2161;951,17;3;16,54;0,31;0,53;0,55;0,71;0;237,4;149,28;0,88;18,48;23,81;486,73
Conceição do Coité;BA;55,46;1015,25;12494,96;67,6;60,51;38,26;68,59;67,88;92,17;41,76;65,99;59,83;54,63;61,6;15,56;55,06;57,59;24,82;79,08;2161,61;175,09;12,71;5,06;77,06;30,29;82,34;42,18;73,22;94,46;88,13;99,7;118,9;6,44;42,76;13,86;2,7;6,73;6,48;37,78;3,95;6,88;80,98;6,98;72,09;95,12;70,14;2,69;395,54;17,56;5,6;77,26;4,15;2,4;0,15;45,49;38,71;4;0;141,4;56,8;2301,19;789,69;6;15,71;0,28;1,33;0,53;0,8;61,07;113,96;72,88;0,59;23,63;29,4;531,67
Conceição do Jacuípe;BA;54,02;114,87;74348;63,56;61,08;37,42;74,01;54,18;91,5;34,56;60,71;64,8;55,24;63,59;11,88;52,8;54,39;30,61;92,05;621,34;154,21;13,45;5,15;58,9;17,68;58,66;30,78;91,9;94,52;89,82;90,32;113,44;10,8;46,45;12,46;4,2;8,28;9,37;42,53;4,06;8,72;99,85;19,36;71,3;83,01;72,93;2,64;353,49;23,17;7,93;93,54;8,85;3,85;0,57;49,28;13,63;0;3;91,5;66,67;3184,8;705,03;5;13,07;0,3;0,67;0,15;0;34,25;145,77;103,53;0,54;35,45;41,24;537,58
Condado;PE;55,34;89,64;9957,32;64,75;61,65;39,61;76,49;39,44;92,44;50,63;74,07;63,34;42,9;66,31;22,04;47,46;68,35;20,57;90;753,54;178,51;12,96;3,2;41,36;0,63;51,83;51,86;91,68;90,68;84,82;98,53;85,48;1,95;37,42;14,64;0,6;0,4;6,57;29,98;3,99;3,55;100;2,56;76,12;93,72;67,79;3,31;483,81;22,81;3,05;95;2,31;1,12;0,81;43,53;9,8;7;0;75,5;72,67;1069,36;634,91;3;18,23;0,32;0,26;0,55;0,61;0;73,24;90,78;2,59;22,63;32,13;498,5
Conde;BA;53,44;931,11;11911,2;66,87;56,4;37,05;72,19;60,14;73,25;61,89;59,75;55,29;54,7;55,86;13,2;42,3;71,5;21,22;67,7;460,25;159,95;14,28;3,38;59,7;33,86;68,7;30,92;58,49;74,75;54,04;89,05;38,5;2,79;26,21;17,97;0,95;12,88;8,18;60,33;3,63;4,98;80,86;2,93;61,11;91,16;67,31;2,15;348,39;17,5;5,28;89,96;10,99;10,36;0,85;55,28;40,24;6;0;57,5;90;3556,25;2253,98;2;17,26;0,38;0,99;0;0,77;0;30,15;39,59;0,63;22,98;29,67;484,73
Condeúba;BA;51,82;1348,04;9806,77;68,87;51,47;35,13;73,95;59,13;79,79;62,61;46,82;44,47;65,28;49,32;12,34;50,32;48,15;29,69;94,89;1053,39;106,45;11,04;6,81;44;89,45;50,58;23,29;35,52;87,15;67;98,07;29,27;7,71;10,56;11,73;18,15;10,28;8,6;44,68;5,14;7,66;54,73;7,02;45,39;80,09;72,32;1,76;326,02;17,76;3,52;70,32;1,95;20,19;21,11;53,6;33,98;2;3;132,5;82;3248,03;2195,51;3;12,14;0,32;1,51;0,55;0,36;;175,72;216,22;1,21;32,26;40,76;520,05
Contendas do Sincorá;BA;55,35;977,46;11391,69;74,68;50,93;40,46;76,07;56,13;92,91;73,6;38,18;60,6;49,31;55,61;8,85;54,45;67,4;31,12;96,29;221,57;124,08;24,44;3,96;64,15;10,97;63,12;32;66,33;95,79;94,34;99,41;26,97;0;11,54;18,46;20,78;7,2;12,47;52,37;4,05;10,64;47,28;30,66;81,33;92,47;66,7;2,31;366,1;20,47;15,39;79,06;2,45;10,59;18,46;46,55;32,33;1;0;90,5;59;2487,81;780,39;3;12,8;0,28;3,23;0,22;0;0;65,39;69,64;1,45;33,38;45,97;479,44
Coração de Maria;BA;55,26;378,42;8069,17;64,65;62,16;38,96;72,9;42,77;85,1;57,83;61,93;60,45;61,52;64,75;9,55;52,27;72,01;22;85,97;1452,73;153,16;11,58;4,91;38,52;21,46;43,78;32,14;36,43;97,54;79,31;97,19;73,59;0;33,72;8,24;2,3;7,82;6,87;46,98;3,56;10,6;97,55;13,18;50,46;92,43;70,74;2,02;319,45;15,46;7,49;78,74;1,79;2,82;0;39,59;21,89;3;0;68;90,5;1788,04;1400,59;4;14,68;0,29;1,03;0;0;0;23,1;33,26;1,77;24,31;33,46;479,48
Cordeiros;BA;56,24;523,64;9182,87;69,08;57,47;42,16;75,27;53,48;86,04;61,51;71,72;40,37;61,19;56,61;20,34;52,49;63,26;32,54;98,75;1070,98;115,32;7,11;6,96;68,76;2,6;53,95;32,37;23,74;95,98;90,88;98,22;23;13;13,25;13,25;2,05;5,05;10,12;26,53;5,33;4,28;51,46;1,2;54,01;67,01;70,77;1,63;333,07;18,15;13,25;68,11;4,97;11,82;23,85;46,75;28,7;4;5;132,5;82;3248,03;2195,51;2;10,89;0,3;2,43;0,44;0,36;;280,81;81,43;0;37,2;50,2;506,18
Coreaú;CE;56,06;750,33;10576,23;68,73;58,33;41,13;77,83;59,2;88,09;49,78;79,33;52,82;48,76;52,38;34,68;51,35;50,24;28,24;92,05;717,34;134,9;9,36;4,48;74,84;52,13;46,85;43,37;63,94;95,93;78,49;97,04;65,03;2,36;36,27;33,41;0,07;4,75;10,53;13,65;6,42;2,83;89,65;3,94;41,7;87,93;70,5;3,59;435,86;15,9;7,16;85,99;0;4,1;28,64;58,56;14,84;3;10;113,5;55;954,28;962;2;15,45;0,28;0,84;0,67;0,63;2500;100,25;53,08;5,28;38,49;49,3;492,49
Coribe;BA;55,47;2662,82;11776,16;73,92;56,58;35,91;72,01;67,07;84,84;71,73;71,33;46,18;64,54;44,28;6,62;49,2;64,45;23,37;83,72;4089,07;109,48;8,87;5,17;71,25;8,52;98,72;44,87;58,16;79;90,16;94,99;26,43;0;16,08;18,58;0,82;8,58;6,22;34,13;4,58;1,28;58,47;0,23;45,76;91,41;73,44;2,49;277,85;15,32;7,15;68,3;1,09;46,99;56,47;55,46;24,27;2;0;79;90;2727,57;1491,03;2;18,89;0,29;1,46;0;0,92;0;111,26;95,42;0,73;29,58;41,27;480,93
Coronel João Sá;BA;57,86;797,43;10034,41;73,75;52,87;46,95;76,81;59,38;85,75;73,04;53,71;52,08;55,91;49,77;25,47;49,88;90,72;21,75;95,3;569,31;105,77;20,99;4,32;53,73;60,95;58,12;28,89;51,88;89,23;81,58;97,82;28,16;0;12,9;11,73;5,08;11,5;12,7;51,88;3,73;8,77;73,58;7,66;53,93;85,19;67,96;2,1;330,68;15,26;11,73;84,69;4,91;14,58;2,93;57,27;45,99;4;7;79;70,25;2926,73;1626,25;4;17,81;0,3;0,48;0,91;0,84;0;9,02;0;0,35;31,78;37,41;468,76
Correntes;PE;59,78;317,79;10952,31;69,14;59,54;50,66;66,5;68,01;91,81;50,22;72,56;55,78;55,67;54,16;18,25;46,55;92,04;45,8;64,49;620,59;127,7;27,14;4,42;67,92;62,47;78,12;44,56;67,71;96,15;93,34;96,4;52,27;11,7;24,52;8,76;1,23;0,45;6,42;36,15;3,96;2,53;92,64;1,35;46,93;95,78;68,57;2,15;405,33;13,66;7;89,45;0,33;6,19;0,58;51,55;35,64;4;0;88,5;58,33;921,3;492,12;2;18,56;0,32;0,36;0,55;0,75;0;2,92;0;2;70,57;83,58;492,09
Correntina;BA;54,52;11504,31;96668,23;67,39;56,03;40,15;74,47;60,57;85,6;48,93;63,27;53,57;64,47;42,81;24,01;50,52;54,24;31,81;90,91;1381,37;88,25;13,21;6,14;63,61;3,1;67,87;7,74;47,25;89,47;87,67;95,19;68,13;3,71;35,12;57,92;2,98;8,63;9,6;38,48;4,08;6,45;55,93;4,61;77,45;91,79;72,5;2,29;203,99;17,56;6,93;87,5;1,86;120,7;54,84;50,25;37,19;10;0;108,5;57,5;5155,08;2983,68;4;15,66;0,31;0,75;0,46;0,83;30,86;261,99;117,26;2,42;42,4;49,9;507,46
Cortês;PE;58,18;103,42;11642,79;70,46;58,35;45,72;65,91;79,63;85,55;50,76;76,04;54,25;41,92;61,2;28,51;49,21;79,12;26,03;56,8;1535,93;221,24;14,56;2,94;74,07;70,87;86,23;13,43;63,27;86,06;83,92;94,02;84,18;0;50,99;4,9;1,48;0;6,18;23;4,4;2,52;92,86;0,62;42,34;94,17;67,42;3,69;589,03;16,57;0;80,47;1,52;1,85;1,96;48,18;21,35;6;5;112;86,5;1285,71;731,59;3;18,21;0,3;1,42;0,22;0,5;0;79,98;0;0;27,05;35,91;482,86
Cotegipe;BA;53,52;4282,77;12812,05;69,32;51,97;39,27;69,58;55,5;79,53;72,68;65,94;40,94;60,49;40,49;17,19;47,56;80,04;12,3;94,54;247,28;134,84;25,62;6,26;66,08;1;55,92;18;48,37;90,57;63,97;92,35;16,98;0;13,78;9,19;1,82;6,67;9,6;37,53;4,03;5,45;41,55;3,85;46,72;80,97;69,77;2,25;346,86;11,49;7,66;72,42;1,81;117,91;82,68;52,76;34,04;5;0;195,5;48,5;1723,85;1725,76;3;20,5;0,31;1,09;0,89;0,56;0;11,79;29,43;0;11,82;14,55;480,48
Crateús;CE;58,4;2981,46;12023,75;74,99;61,65;38,57;75,86;66,78;92,4;64,91;77,24;59,63;57,08;52,67;18,75;52,02;52,88;30,62;84,67;1034,15;128,19;15,54;3,7;65,48;95,44;56,34;37,65;73,95;96,44;88,63;98,4;40,57;5,1;18,85;22,78;0,4;2,78;8,35;24,23;5,44;1,8;82,95;14,88;63,95;89,46;72,24;2,56;405,53;16,52;11,78;66,3;1,2;8,82;25,79;52,47;27,21;5;0;78,33;71;838,54;614,01;3;14,34;0,29;0,94;0,4;0,98;25,78;238,14;185,19;7,39;35,96;45,13;526,66
Crato;CE;63,94;1138,15;13638,3;74,43;65,57;51,81;73,92;76,83;93,28;53,7;75,46;70;59,43;57,41;44,02;57,77;66,03;39,41;78,12;774,59;130,4;14,42;4,19;87,68;44,95;97,2;51,76;86,1;96,01;89,86;96,01;77,34;3,46;29,91;16,02;0,73;2,98;7,65;25,58;5,08;3,58;96,6;23,22;79,77;94,9;74,3;2,48;404,91;17,47;10,07;74,84;1,78;3,49;3,28;53,41;17,61;9;8;113,86;60,63;787,58;585,81;7;13,53;0,27;2,61;0,32;0,66;0;173,8;14,53;22,81;55,02;65,88;524,54
Cravolândia;BA;55,17;182,59;10244,6;71,05;55,38;39,07;59,9;63,79;88,66;71,84;65,17;53,08;55,81;47,48;29,36;50,59;50,06;26,25;65,65;5372,45;159,57;31,85;3,86;58,39;67,04;63,64;28,36;75,26;87,13;88,33;94,63;0;14,97;7,55;0;3,27;7,25;7,48;45,78;4,51;4,75;89,26;3,56;32,33;97,37;70,88;2,34;340,81;21,04;13,59;70,47;0,35;33,35;2,27;54,67;31,33;8;5;81,5;79;2506,68;1588,36;3;15,64;0,3;1,12;0,44;0;833,33;134,77;57,92;0;31,04;43,84;471,75
Crisópolis;BA;55,75;636,61;10206,4;68,4;57,91;40,92;73,81;48,92;90,45;60,43;63,61;53,61;61,04;53,39;10,11;52,65;75,86;25,07;75,62;826,36;121,88;16,46;3,87;57,18;2,62;43,33;16,78;50,31;95,82;93,24;99,21;54,53;0;27,37;16,22;1,98;12,02;11,27;39,68;4,44;2,73;72,23;2,12;67,36;88,33;70,87;2,77;293,64;16,5;7,1;40,2;3,8;6,41;0,51;52,8;53,36;3;0;45,5;93;1072,33;1495,01;2;16,81;0,3;8,79;0,36;0,8;0;15,25;38,84;0,7;31,2;38,5;506,98
Cristópolis;BA;54,81;1052,84;10954,61;67,73;56,32;40,39;71,87;55,17;79,87;63,99;63,21;44,57;64,45;53,06;8,41;50,33;74,97;27,85;94,35;4652,72;104,79;15,47;5,17;87,28;4,07;32,38;22,52;35,96;95,1;59,25;97,38;10,33;4,89;17,87;37,16;2,33;10,47;11,6;37,65;4,39;5,35;71,76;3,43;39,95;73,73;70,93;2,15;285,82;13,8;8,93;51,79;2,64;17,67;20,01;50,51;21,84;1;0;112,92;58,67;1807,19;1277,79;3;14,75;0,3;0,07;0,44;0,42;0;14,68;59,47;0;28,69;36,48;494,81
Croatá;CE;58,39;696,35;12554,86;72,62;60,71;41,84;75,29;58,79;93,05;63,35;77,69;53,61;53,21;58,34;16,79;51,87;72,35;26,33;95,36;1112,46;157,9;17,29;3,95;95,6;22,59;30,21;30,95;81,68;94,73;88,53;98,65;39,76;6,85;19,45;30,89;0,1;3,22;10;20,38;5,67;1,77;84,88;1,55;51,84;90,09;70,58;2,69;428,78;18,44;8,58;73,26;0,26;1,94;4;52,17;20,69;4;0;71;73;491,6;842,46;3;16,05;0,28;1,36;0,91;0,69;0;61,69;61,16;0;34,65;44,59;487,25
Cruz;CE;56,2;335,92;11787,06;67,8;62,45;38,34;82,52;45,3;88,16;55,24;82,81;54,78;57,42;54,77;12,05;54,37;62,2;24,73;99,44;925,23;136,39;12,33;2,48;70,52;0,64;31,57;40,5;69,02;91,32;78,44;98,62;59,58;6,63;22,95;40,99;0;2,58;11,07;10,78;7,17;2,13;98,82;0,4;39,33;93,52;70,13;2,29;393,76;19,13;5,88;57,97;0,77;3,62;2,35;51,76;44,79;3;0;125,5;76,67;1486,97;1039,45;5;11,55;0,3;1,96;0,36;0,92;0;196,31;178,57;2,67;30,84;41,53;483,28
Cruz das Almas;BA;59,83;139,12;16613,38;72,52;65,82;41,15;71,59;82,52;91,34;44,62;66,9;68,9;57,26;70,23;9,91;54,47;50,46;49,78;83,35;655,86;158,2;13,55;5,25;84,91;79,26;90,38;32,95;85,97;87,55;85,82;99,17;127,74;3,88;35,79;13,26;3,18;2,75;5,82;37,9;4,08;10,75;99,99;14,61;90,5;89,3;72,74;2,33;374,41;22,98;8,62;75,08;5,39;1,46;0,17;37,7;11,79;3;0;106;68,33;2747,55;1734,79;4;11,7;0,29;3,16;0,4;0,69;166,67;160,7;164,45;3,38;78,54;81,41;535,96
Cumaru;PE;57,01;291,43;6771,94;67,79;61,69;41,55;73,37;38,71;85,91;73,18;75,91;56,05;53,61;61,2;36,43;48,54;70,22;11;93,52;1276,43;209,94;15,06;3,56;18,04;9,38;61,51;35,32;50,14;91,04;82,97;96,75;35,07;0;12,56;20,1;1,58;0,45;5,05;24,88;4,22;1,38;87,44;10,53;41,83;94,53;68,18;2,16;408,56;15,44;8,79;92,19;1,42;2,85;1,26;40,73;47,04;8;7;35;87;1884,67;401,21;2;17,75;0,3;0,39;0;0,96;0;39,84;45,5;1,21;4,51;4,25;506,67
Cupira;PE;58,09;95,15;11754,5;71,22;63,13;39,91;73,27;86,82;95,95;28,85;75,99;62,33;47,92;66,27;11,76;52,73;69,96;25,21;93,32;783,69;206,02;13,78;4,15;84,11;86,88;100;30,95;86,3;97,07;94,98;99,15;142,23;13,39;60,38;11,06;0,5;1,32;8,62;23,35;5;4,27;100;9,45;63,27;91,75;70,8;3,4;493,32;18,23;7,65;75;5,8;2,09;0;44,57;10,76;4;0;114;88;1819,13;1568,47;4;14,42;0,29;0,78;0,55;0,64;0;80,32;44,09;2,81;27,66;33,93;527,28
Curaçá;BA;53,85;5950,61;9933,49;70,55;55,29;35,72;77,25;68,23;78,24;58,49;62,81;44,12;57,39;56,86;12,48;47,94;65,4;17,06;87,71;451,12;114,03;16,26;3,94;72,75;67,55;86,62;71,97;50,98;80,02;68,32;92,62;30,33;7,47;34,52;22,82;3,48;6,48;10,63;40,12;4,07;6,67;39,31;4,68;49;92,69;71,68;2,4;349,11;21,62;5,85;80,37;0,35;5,37;1,17;48,2;30,1;4;0;156;75;2795,83;1273,75;4;22,34;0,3;0,96;0,77;0,77;8,74;86,05;46,77;1,66;17,18;23,98;482,8
Custódia;PE;55,7;1382,06;15181,97;70,34;60,59;36,18;77,62;52,6;88,29;62,85;76,29;55,34;54,68;56,05;24,06;48,06;51,41;21,18;95,66;820,94;127,47;14,04;4,36;39,9;65,32;59,9;46,67;40,78;96,16;90,55;98,24;35,17;3,89;23,87;20,69;0,28;1,13;10,03;18,63;5,31;6,9;78,09;5,65;57,58;93,44;67,33;1,99;363,05;18,87;6,37;83,67;6,44;10,62;4,24;52,47;26,61;9;0;78,33;69,75;2185,12;847,8;2;17;0,32;2,57;0,18;0,56;95,24;151,52;127,24;4,06;20,86;26,84;525,96
Dário Meira;BA;50,95;413,64;11453,2;65,51;49,69;37,64;68,78;65,33;89,11;38,83;64,85;26,62;55,1;52,2;16,3;44,08;60;30,17;73,13;602,44;161,15;24,67;3,77;69,58;83,93;44,8;23,44;74,72;93,75;83,19;94,58;110,12;4,8;49,92;9,24;4,77;8,07;6,83;32,32;4;3,65;72;0,27;26,35;17,63;71,27;2,98;395,86;19,2;6,93;53,36;0,03;9,39;0;53,74;30,23;3;3;162;88,5;1132,86;2909,4;1;23,69;0,31;0;0;0,94;0;118,96;461,62;0;36,98;44,42;494,77
Deputado Irapuan Pinheiro;CE;57,08;471,13;11079,31;75,35;57,63;38,27;82,92;64,45;88,74;65,29;83,81;50,15;47,3;49,26;19,18;52,82;60,15;20,92;98,39;1045,66;135,82;14,02;1,89;85,63;2,37;80,12;49,5;54,53;95,9;85,07;98,1;36,63;5,6;17,91;20,15;0,18;3,33;8,17;12,05;7,03;0,5;86,76;3,12;40,69;81,84;69,52;2,79;451,95;18,79;19,59;75,58;0,2;14,37;3,36;52,58;49,79;6;0;201;78,67;1006,07;1016,76;4;14,23;0,29;0,65;0;0,31;;116,49;358,17;0;27,22;32,8;476,2
Dias d'Ávila;BA;55,06;183,76;40940,4;62,95;62,05;40,17;72,24;73,79;90,44;15,34;62,31;66,17;53,96;65,78;14,68;55,62;61,28;29,09;81,31;435,69;165,09;15,81;4,36;79,84;85,74;83,19;64,75;91,96;81,68;85,72;98,76;225,25;9,7;81,7;3,64;2;6,73;9,65;45,32;4,07;12,13;98,82;9,83;79,06;94,7;73,66;3,39;385,05;25,26;3,5;60,02;5,59;1,87;0;43,84;20,24;5;0;149;65,67;2258,26;1821,35;6;13,13;0,28;1,78;0,13;0,86;17,54;68,42;51,12;1,58;37,52;42,98;510,37
Dom Basílio;BA;58,9;689,52;11645,28;76,04;57,08;43,57;81,63;60,41;86,39;75,74;65,97;43,49;62,94;55,91;30,2;53,33;65,66;25,1;91,39;601,36;116,45;3,99;4,04;61,47;1,81;76,47;18,31;58,28;95,64;70,97;99,3;9,76;0;6,31;23,14;4,15;7,33;6,4;44,25;4,97;5,32;44,79;5,18;47,71;85,62;71,97;1,71;382,39;17,88;5,61;67,28;1,37;5,32;10,94;53,35;15,03;5;7;267,6;44,8;4070,7;1649,97;3;9,74;0,3;1,03;0,22;0,68;0;65,3;175,64;0,66;32,54;41,07;504,62
Dom Macedo Costa;BA;59,94;94,78;9487,24;75,13;60;44,7;70,83;67,26;85,89;76,54;75,34;61,15;49,78;53,71;10,04;51,85;89,55;27,37;78,93;861,87;187,38;12,04;4,53;75,29;5,01;88,07;30,03;35,71;88,86;89,34;99,42;35,39;0;7,56;0;0,55;3,17;4,45;31,62;4,51;2,23;100;3,63;64,94;92,85;72,69;3,31;454,07;22,53;15,13;50;0,68;10,02;0;53,83;16,89;2;0;92;72,43;1817,92;912,52;2;10,4;0,29;0;0,67;0,8;0;0;19,53;1,47;37,32;51,73;478,72
Dormentes;PE;54,17;1539,05;13962,42;62,81;60,23;39,47;72,42;38,72;84,14;55,95;82,46;51,94;55,13;51,41;14,88;50,25;59,85;32,9;90,06;931,21;120,34;19,73;5,42;31,7;20,64;43,24;39,74;34,79;97,35;78,73;95,71;51,91;5,82;24,44;23,27;0,17;0,02;5,55;15,35;5,63;2,03;53,57;9,94;64,24;91,74;69,46;2,2;383,84;17,26;14,55;67,09;2,56;12,36;55,27;47,04;47,66;4;0;73,5;54;2634,39;853,07;2;16,66;0,29;2,03;0,36;0,66;0;298,13;244,5;0,42;40,21;53,82;528,23
Elísio Medrado;BA;57,59;179,33;9582,59;64,51;65,03;43,22;69,58;43,66;89,26;55,53;73,04;67,02;61,99;58,07;24,57;52,31;70,01;25,99;71,79;1540,87;189,56;14,21;3,63;39,15;0,11;43,53;9,24;47,62;95,72;88,7;99,81;119,37;0;23,05;15,37;1,52;4,2;6,38;24,65;4,53;4,88;97,71;7,92;92,42;90,55;71,6;1,76;412,25;20,87;3,2;48,99;1,76;14,28;1,28;44;17,15;4;7;129;80;3018,33;2048,62;2;13,21;0,27;0,2;0,67;0,71;0;81,26;63,66;0;24,76;33,62;510,99
Encruzilhada;BA;51,86;1890,13;13209,89;68,92;50,73;35,92;71,28;55,1;86,45;62,85;54,14;43,18;55,5;50,08;12,18;43,02;64,76;23,72;95,04;2732,92;183,39;20,31;3,74;65,4;54,39;29,92;20,32;66,65;92,08;77,58;94,92;37,16;0;34,54;26,17;5,18;7,87;16,12;56,32;4;6,35;69,78;0,42;36,09;76,85;70,23;2,87;400,2;14,04;8,37;62,63;4,72;23,54;73,79;50,85;23,79;3;0;264;57;1762,31;1920,46;2;23,97;0,34;1,86;0,36;0,97;0;153,58;110,31;0,72;27,18;38,63;490,85
Entre Rios;BA;53,37;1187,77;17207,81;62,17;55,73;42,21;69,83;60,66;78,69;39,49;54;59,53;57,08;52,31;11,15;50,69;82,69;24,3;64,15;525,64;128,39;17,21;4,42;59,36;16,98;81,05;34,09;70,38;69,4;68,47;94,17;130,43;4,04;48,3;22,57;6,33;8,27;9,73;54,28;3,52;10,83;78,97;4,57;80,95;91,51;72,12;2,83;346,13;22,02;2,62;72,11;3,66;10,97;2,36;53,9;40,88;2;0;219,5;67,67;2060,64;786,89;4;17,13;0,31;2,4;0,31;0,64;0;10,1;3,37;2,48;28,45;36,58;493,51
Ereré;CE;56,41;349,03;12713,76;71,81;56,35;41,07;74,57;68,92;91,98;51,75;76,68;39,17;58,59;50,94;13,05;53,38;64,47;33,38;100;415,52;112,9;60,82;2,81;80,74;99,05;40,93;31,57;63,6;98,6;89,41;98,99;25,08;20,48;23,17;24,71;1,32;1,7;7,45;23,7;5,21;2,05;66,42;0,53;33,91;65,75;70,23;1,85;391,63;15,84;11,58;73,75;0;11,41;10,81;52;39,21;3;0;64;78;794,38;940,41;3;15,34;0,27;1,25;0,44;0,9;0;153,56;106,61;5,84;45,38;56,7;478,6
Érico Cardoso;BA;58,08;735,25;7182,39;74,6;54,85;44,8;72,43;57,55;85,34;83,07;68,88;37,01;58,92;54,59;23,13;50,21;87,65;18,22;100;1378,25;147,6;19,37;5,51;54,71;61,25;59,37;43,37;34,6;94,2;88,63;95,11;0;0;4,72;6,29;1,47;5,22;7;41,3;4;2,1;48,95;0,16;31,28;75,74;70,47;1,61;371,11;20,09;7,07;90,91;0,02;2,92;25,46;57,94;7,25;5;5;93;80;2118,6;2277,66;2;14,92;0,3;1,42;0,22;0,45;0;0;16,1;0;23,06;28,49;466,37
