Município;UF;Índice de Progresso Social;ÁREA km²;PIB PER CAPITA;Necessidades Humanas Básicas;Fundamentos do Bem-estar;Oportunidades;Nutrição e Cuidados Médicos Básicos;Água e Saneamento;Moradia;Segurança Pessoal;Acesso ao Conhecimento Básico;Acesso à Informação e Comunicação;Saúde e Bem-estar;Qualidade do Meio Ambiente;Direitos Individuais;Liberdades Individuais e de Escolha;Inclusão Social;Acesso à Educação Superior;Cobertura Vacinal (Poliomielite);Hospitalizações por Condições Sensíveis à Atenção Primária;Mortalidade Ajustada por Condições Sensíveis à Atenção Primária;Mortalidade Infantil até 5 Anos;Subnutrição;Abastecimento de Água via Rede de Distribuição;Esgotamento Sanitário Adequado;Índice de Abastecimento de Água;Índice de Perdas de Água na Distribuição;Domicílios com Coleta de Resíduos Adequada;Domicílios com Iluminação Elétrica Adequada;Domicílios com Paredes Adequadas;Domicílios com Piso Adequado;Assassinatos de Jovens;Assassinatos de Mulheres;Homicídios;Mortes por Acidente de Transporte;Abandono no Ensino Fundamental;Abandono no Ensino Médio;Evasão no Ensino Médio;Distorção Idade-Série no Ensino Médio;Ideb Ensino Fundamental;Reprovação Escolar no Ensino Médio;Cobertura de Internet Móvel (4G/5G);Densidade de Internet Banda Larga Fixa;Densidade de Telefonia Móvel;Qualidade de Internet Móvel;Expectativa de Vida;Mortalidade entre 15 e 50 anos;Mortalidade por Doenças Crônicas Não Transmissíveis;Obesidade;Suicídios;Consumo de Alimentos Ultraprocessados;Áreas Verdes Urbanas;Emissões de CO?e por Habitante;Focos de Calor;Índice de Vulnerabilidade Climática dos Municípios;Supressão da Vegetação Primária e Secundária;Acesso a Programas de Direitos Humanos;Existência de Ações para Direitos de Minorias;Índice de Atendimento à Demanda de Justiça;Taxa de Congestionamento Líquido de Processos;Resposta a Processos Previdenciários;Resposta a Processos Familiares;Acesso à Cultura, Lazer e Esporte;Gravidez na Adolescência (<19 anos);Índice de Vulnerabilidade das Famílias do CadÚnico (IVCAD);Praças e Parques em Áreas Urbanas;Paridade de Gênero na Câmara Municipal;Paridade de Negros na Câmara Municipal;Violência contra Indígenas;Violência contra Mulheres;Violência contra Negros;Famílias em Situação de Rua;Empregados com Ensino Superior;Mulheres Empregadas com Ensino Superior;Nota Mediana do Enem
Afrânio;PE;52,56;1490,59;10922,87;64,68;57,69;35,32;73,57;45,97;78,81;60,36;78,25;41,66;59,45;51,41;10,84;48,12;52,84;29,48;95,27;910,49;92,56;21;5,94;40,13;18,83;55,49;35,54;7,06;98,28;70,42;95,79;16,31;8,54;16,07;21,42;0,3;0,05;5,33;22,48;4,56;2,78;52,45;2,66;45,85;76,02;70,68;2,44;316,26;14,81;10,71;69,2;0,36;11,34;43,91;47,36;43,12;2;0;73,5;54;2634,39;853,07;3;18,23;0,31;1,34;0,55;0;476,19;98,18;58,71;1,71;32,63;45,34;496,34
Agrestina;PE;58,59;200,37;14439,73;75,06;62,69;38,02;73,41;85,27;94,82;46,72;73,72;63,31;49,16;64,56;7,68;50,01;69,03;25,36;82,55;1474,08;197,8;14,15;2,79;81,53;83,64;99,58;30,98;86,02;96,99;90,72;98,91;76,62;4,05;43,74;32,8;0,27;0,7;7,95;30,35;4,38;5,78;99,67;9,39;68,07;92,11;70,57;3,54;490,01;16,09;3,15;75,96;1,2;3,48;0;41,17;7,79;1;0;60,5;91,67;1738,82;595,78;3;15,28;0,31;1,35;0,18;0,84;0;42,14;68,27;6;27,73;34,31;515,45
Água Fria;BA;50,21;742,77;10733,97;59,35;52,33;38,95;71,38;47,28;82,1;36,63;56,05;39,89;59,25;54,12;15,22;49,36;66,22;24,98;74,46;506,02;108,74;21,88;4,54;56,59;9,77;42,95;30,38;36,79;86,8;76,63;98,14;95,75;8,94;41,39;8,62;4,5;9,9;10,1;60,35;3,46;3,85;65,46;0,71;39,32;64,85;69,79;2,79;270,83;17,38;5,52;56,09;6,73;12,09;0,69;56,56;24,4;6;0;59;85,5;2611,61;1296,86;3;15,32;0,31;0,84;0,22;0;0;88,52;65,35;3,12;34,16;47,57;477,18
Água Preta;PE;55,41;531,93;9616,22;63,99;59,05;43,2;64,93;64,29;89,59;37,18;71,21;55,28;49,67;60,05;27,55;51,52;72,28;21,43;67,23;994,37;215;16,45;4,59;70,07;65,11;70,15;57,83;70,04;89,53;92,84;94,52;94,65;9,15;40,06;9,83;2,37;0,3;8,23;32,4;4,08;2,73;86,88;1,68;50,99;95,37;70,64;2,93;581,31;18,74;1,26;65,49;0,94;4,9;1,89;46,29;14,43;3;4;95,67;30;1002,94;489,7;3;20,22;0,3;8,23;0,36;0,65;0;36,59;41,88;1,29;23,69;31,66;471,65
Águas Belas;PE;54,15;885,99;9243;66,7;55,49;40,25;74,26;44,93;86,01;61,59;68,29;49,77;49,5;54,4;34,44;47,36;56,71;22,49;88,01;730,18;162,98;17,48;3,74;32,31;39,29;48,31;31,61;52,66;89,38;85,68;95,64;21,33;5,62;26,96;12,03;2;3,33;11,63;33,13;4,41;4,47;60,71;4,18;52,09;93,57;66,44;2,67;460,21;16,37;5,3;68,15;3,22;4,57;1,68;59,44;17,94;6;8;60;83,33;1179,25;716,86;4;19,34;0,33;1,32;0,15;0,74;7,38;215,59;115,65;1,77;24,97;31,42;489,05
Aiquara;BA;58,18;167,88;11798,98;74,91;57,15;42,46;68,77;72,11;91,73;67,04;62,23;52,45;62,56;51,37;24,34;45,26;70,89;29,36;76,59;681,75;129,64;20,19;5,57;67,76;88,51;58,03;9,33;81,84;86,11;93,95;97,71;52,36;0;11,25;7,5;4,15;10,38;5,33;35,9;3,5;7,25;98,67;0,46;40,64;83,36;69;1,27;323,64;25,72;13,49;3,5;0;14,31;0;52,18;32,58;6;4;162;88,5;1132,86;2909,4;2;22,71;0,31;0;0,22;0,9;0;22,42;111,21;1,52;33,63;42,21;476,75
Aiuaba;CE;57,03;2438,56;10738,58;73,28;56,05;41,75;80,05;52,28;87,13;73,67;77,05;44,41;51,78;50,97;27,69;48,78;67,84;22,69;98,78;956,83;102,42;16,53;3,75;61,44;1,34;59,58;33,53;58,94;98,45;79,89;93,68;16,08;0;11,37;22,73;0,22;3,15;11,4;20,07;5,61;0,58;50,08;4,51;40,26;91,28;69,96;2,17;352,76;20,06;21,31;94,12;0,84;12,57;29,84;50,14;39,97;7;0;85;53;411,43;309,79;3;19,07;0,3;0,84;0,67;0,88;0;104,8;106,38;0;31,73;42,57;485,06
Alagoinha;PE;55,88;221;10170,89;66,03;61,83;39,79;76,31;44,38;89,22;54,23;70,15;61,59;56,51;59,07;28,13;50,37;50,19;30,47;95,01;1154,06;132,74;22,28;3,32;22,62;49,11;48,25;24,39;63,34;95,18;81,74;98,76;49,73;11,1;31,01;18,46;1,22;0,07;7,57;33,82;4,18;11,83;94,22;13,97;58,93;92,13;73,04;2,94;410,54;20,61;1,85;70,5;0,65;3,89;0,74;45,39;33,18;3;6;185,5;59,67;988,85;538,12;3;17,85;0,31;4,6;0,44;0,18;45,11;216,17;415,09;0;41,44;52,87;495,25
Alagoinhas;BA;59,04;707,84;28418,87;63,32;62,86;50,94;64,98;80,61;88,46;19,23;62,49;69,94;55,49;63,52;42,2;59,78;68,41;33,38;57,02;709,34;166,9;16,48;4,94;88,38;80,43;96,47;61,89;75,9;92,49;74,92;98,31;171,13;7,72;64,34;36,28;3,12;6,95;8,5;43,57;4,07;10,23;96,51;18,15;87,93;94,32;72,39;3;435,13;16,16;5,16;73,57;6,39;2,91;0,4;45,94;25,16;10;8;648,33;69,09;1744,81;1643,08;10;12,46;0,28;0,98;0,47;0,97;0;84,66;22,14;24,76;40,79;46,06;542,84
Alcântaras;CE;58,95;135,76;8415,76;66,38;63,61;46,85;80,08;37,64;78,06;69,75;75,46;62,46;55,27;61,27;34,12;52,68;61,12;39,47;93,68;500,91;120,79;16,76;2,97;38,63;18,98;26,81;29,07;24,14;91,03;61,46;98,19;9,04;6,94;7,04;10,99;0,57;4,6;10,07;28,28;6,08;3,65;98,11;28,1;35,65;93,63;70,07;2;342,27;24,78;8,8;83,93;0,03;1,45;2,64;51,66;1,17;5;6;392,87;53,47;547,69;626,6;2;10,75;0,29;0,94;0,22;0,41;;114,5;280,9;6,99;51,23;68,54;503,41
Alcobaça;BA;49,34;1477,93;13729,29;57,46;53,21;37,33;69,86;61,2;78,57;20,21;58,8;49,04;53,13;51,88;13,28;44,33;72,42;19,3;78,42;1151,9;158,88;18,1;4,56;54,72;69;57,79;27,15;45,46;77,49;70,71;95,71;162,63;8,23;61,96;26,09;3,45;12,3;12,43;44,17;4,01;4,25;62,57;1,06;57,32;88,53;71,28;3,49;355,29;19,4;2,45;77,26;1,17;12,39;15,08;52,11;31,14;1;4;42;95;1942,58;1195,62;1;21,27;0,32;0,44;0,36;0,96;0;42,78;31,38;3,95;22,04;29,92;482
Aliança;PE;57,36;272,77;11140,19;70,49;62,04;39,54;75,84;65,39;88,51;52,2;73,25;59,64;53,86;61,43;9,44;49,22;70,24;29,24;89,83;794,55;195,54;13,25;2,98;71,36;40,07;80,67;50,6;75,72;91,69;76,25;98,25;63,28;5,43;33,57;18,47;0,87;0,02;5,52;31,8;3,61;3,67;97,9;1,73;64,06;91,83;72,93;3,54;498,37;8,5;5,6;83,33;2,04;2,18;3,08;49,76;10,03;2;0;85;90;2102,31;641,24;4;18,92;0,3;0,36;0,18;0,99;0;49,97;49,83;0,19;37,15;43,7;492,05
Almadina;BA;55,62;245,24;11889,43;69,81;49,72;47,32;66,74;90,79;93,64;28,07;59,86;46,84;37,64;54,53;28,14;51,16;87,26;22,74;92;521,31;273,04;31,13;3,73;89,98;95,15;90,45;10,85;89,9;92,15;91,95;97;186,72;12,52;45,99;19,16;4,72;4,45;8,02;46,92;3,46;10,97;89,47;2,53;55,34;55,16;70,07;4,94;627,87;19,24;0;77,24;0;10,04;5,75;51,62;13,52;7;6;56,5;85;2486;2488,8;2;17,76;0,29;4,7;0,44;0,66;0;0;29,58;0,93;26,32;38,67;473,03
Altaneira;CE;62,05;72,67;10788,95;77,1;61,57;47,48;76,77;64,92;94,54;72,17;72,75;63,88;49,9;59,75;30,05;52,85;66,54;40,48;88,85;1688,28;156,64;11,03;3,3;89,38;16,28;58,69;28,98;81,91;97,86;92,14;98,15;15,59;0;11,8;25,8;0;6,92;15,58;26,45;5,97;0,77;91,08;1,02;88,23;96,03;71,41;3,57;471,29;13,77;17,69;44,12;0,34;2,1;5,9;48,22;24,09;11;0;81;69;1715,74;504,75;5;16,84;0,28;1,08;0,44;0,39;0;131,17;69,93;0;62,96;79,35;447,53
Altinho;PE;55,93;450,18;10583,62;69,83;62,87;35,1;79,57;75,31;93,06;31,39;75,36;58,91;54,98;62,22;22,83;50,19;48,02;19,35;84,49;927,27;132,98;16,18;1,83;67,36;77,72;88,13;33,8;64,82;97,76;95,76;98,14;118,14;14,28;54,17;6,77;0,92;0,77;6,32;27,2;4,37;2,65;96,53;11,01;47,02;92,71;72,54;3,05;421,44;14,1;13,54;65,56;3,37;4,18;0,48;44,91;17,74;9;0;54;92;1477,79;962,94;4;17,86;0,3;0,76;0,36;0,74;238,1;340,79;118,91;0;19,31;25,22;513,64
Alto Santo;CE;51,93;1147,21;16227,19;58,02;57,6;40,18;80,88;52,85;90,03;8,33;74,44;48,78;50,7;56,47;19,8;49,78;57,49;33,64;94,64;1211,84;92,34;15,92;3,17;76,03;11,06;36,89;27,61;62,31;98,58;86,22;96,24;208,86;22,23;86,19;29,67;0,33;5,97;11,05;22,6;5,51;2,35;60,71;1,11;51,4;93,97;71,44;3,42;343,33;20,37;15,9;66,68;0,26;8,78;4,24;44,3;36,49;6;0;55;70;1274,71;594,93;2;17,46;0,29;0,72;0;0,77;0;364,09;219,58;1,63;50,12;62,5;482,59
Amaraji;PE;54,27;233,24;16055,23;63,56;60,33;38,91;75,31;66,49;82,71;29,73;73,59;63,29;47,31;57,15;10,45;47,77;71,21;26,21;84,34;1145,54;199,94;9,7;2,91;65,5;70,47;88,33;73,14;69,98;79,53;77,68;92,42;144,72;8,08;58,23;14,28;1,87;1,03;5,42;25,73;3,7;1,57;95,7;8,77;70,11;94,75;69,89;3,23;506,45;18,53;8,79;69,45;0,98;3,2;3,3;54,33;13,81;2;0;94,5;76;2061,55;644,59;4;22,22;0,3;0,51;0,44;0,87;0;43,11;66,36;0,31;36,8;38,14;493,37
Amargosa;BA;59,78;431,65;12143,75;76,82;60,69;41,82;74,33;75,19;92,3;65,45;65,73;63,17;56,06;57,8;14,24;60,65;61,5;30,91;95,43;925,09;170,92;14,99;4,52;79,62;48,3;81,4;20,69;73,96;93,79;91,36;98,3;45,96;3,52;17,52;14,24;0,6;6,37;7,6;42,45;4,27;13,82;86,34;15,12;76,03;90,26;73,4;2,63;419,58;22,58;6,02;73,25;4,13;6,86;0;51,16;19,78;6;0;99,5;84,5;3180,12;1900,63;7;13,55;0,26;7,66;0,15;0,95;0;258,58;117,39;1,15;32,04;41,13;539,65
Amélia Rodrigues;BA;57,16;166,87;17738,99;65,56;62,13;43,77;72,52;62,59;91,55;35,6;66,08;65,79;61,12;55,55;39,05;54,02;54,62;27,39;88,26;573,56;146,77;26,06;3,75;74,98;1,86;74,8;29,5;84,97;89,57;85,45;98,91;127,05;7,76;43,91;6,63;2,02;4,1;6,87;45,7;4,06;9,08;99,81;2,45;90,72;91,84;73,59;2,44;348,16;27,72;2,07;35,18;2,47;3,57;1,24;56,71;23,08;9;8;250;53;3409,17;2463,94;3;13,85;0,26;0,15;0,18;0,98;166,67;121,11;43,32;1,29;30,94;38,03;517,88
América Dourada;BA;56,2;822,37;10856,19;71,85;60,43;36,32;72,14;69,32;92,66;53,27;70,65;63,5;53,31;54,25;16,02;49,1;60,85;19,31;93,44;1438,03;160,41;18,69;4,74;79;23,03;82,16;31,25;82,95;92,83;89,51;97,86;84,51;3,33;27,75;37;0,22;10,38;7,8;23,85;4,42;4,28;87,2;6,67;90,6;89,25;70,05;2,57;383,61;21,35;3,96;90,96;0,78;6,94;4,62;54,9;15,74;1;6;66,67;85;3439,6;1583,08;3;20,42;0,3;3,13;0,18;0,77;0;317,04;104,02;2,5;24,35;28,16;483,77
Amontada;CE;56,06;1175,04;15117,27;62,25;62,9;43,02;79,89;39,05;77,7;52,35;77,86;56,35;58,41;58,99;26,01;49,11;68,73;28,23;100;520,7;116,8;14,94;4,06;36,68;1,9;32,89;13,11;26,89;87,19;66,09;96,1;75,59;3,26;33,21;19,93;0,65;2,37;8,67;18,67;5,3;0,98;86,82;5,09;57,55;90,17;70,63;1,98;418,18;19;7,12;59,76;2,96;3,71;5,93;46,41;39,35;5;6;92;78;3154,08;1067,78;4;18,43;0,31;0,87;0,15;0,7;0;59,64;51,33;2,7;38,59;50,12;481,35
