ID,Município,UF,distancia_capital_regional_km,areas_verdes_urbanas,focos_calor,emissao_co2_percapita
407,Várzea da Roça,BA,0.4452214361637582,-0.5909806415173146,-0.45948854369479564,-0.19675554577151283
337,Santa Bárbara,BA,-0.9686267962240609,0.0072960573026828466,-0.7894497955614389,-0.7838756355198615
538,Passira,PE,-0.7364511719516432,0.9214628530996387,-0.8831666008253374,-0.7970397630926944
716,Missão Velha,CE,-1.1752704291669238,-0.5335460784305948,1.7682380147657955,-0.24151357951914476
298,Piatã,BA,1.3085969034834497,1.5676016878252357,-0.008476418362283264,0.9669533316669178
295,Pé de Serra,BA,-0.33483711734177524,-0.0836420009179567,-0.5883491509326563,0.5272714707342983
37,Barra do Rocha,BA,-0.4772654549218838,0.6534348920282798,-0.5453956151867027,2.041146141610085
539,Paudalho,PE,-0.954161615584605,1.0411181928636382,-0.8480227988513754,-0.997134502199755
408,Várzea do Poço,BA,0.7137431955450965,2.6971480951973903,-0.6430172873365971,-0.2336151029754452
79,Candiba,BA,1.4102195349802025,-0.45696666098163513,-0.8831666008253374,0.2297621875882741
83,Capela do Alto Alegre,BA,0.050732588436556626,0.9214628530996387,-0.7015902906265338,0.5035760411031988
95,Chorrochó,BA,1.0970136324357593,-0.8111464666830734,-0.697685423740538,0.12971481803474363
627,Barro,CE,-0.6667530046259861,1.4048704257461964,-0.07681158886720947,2.2675691358628116
121,Dom Macedo Costa,BA,-0.4665523779068109,-0.8207188938641934,-0.8831666008253374,1.0959617818806806
551,Riacho das Almas,PE,-1.1579501124361866,-0.9595190879904327,-0.6000637515906435,0.10075373737451133
475,Escada,PE,-0.7610356623659498,2.74022401751243,-0.55711021584469,-0.8549619244131593
281,Nova Viçosa,BA,2.9527762916953364,1.031545765682518,-0.2408159980790321,-0.05195014247035066
361,São José do Jacuípe,BA,0.3118259406423491,-0.7872153987302736,-0.5004896459977513,-0.025621887324684893
248,Maracás,BA,0.6691980191828949,-0.33252510762707566,2.2973474778182226,0.9327265999775525
229,Lamarão,BA,-0.7094031791576915,-0.31816646685539574,-0.8831666008253374,-0.768078682432462
711,Mauriti,CE,-0.6169776232116143,-0.0836420009179567,1.5163741006190674,0.5930921085984626
67,Cairu,BA,-0.3684165497781713,-0.4378218066193952,-0.5532053489586942,-1.3104407384331787
221,Jussari,BA,-0.7736690079025924,-0.42824937943827524,-0.21933923020605534,1.1301885135700465
434,Belém de Maria,PE,-0.8965535599375147,-1.0073812238960325,-0.8831666008253374,-0.83126649478206
547,Primavera,PE,-0.6371783427247057,-0.7537119035963538,-0.6000637515906435,-0.8812901795588253
620,Arneiroz,CE,0.30904660462428774,-1.146181418022272,2.7971704392256824,1.6383238378813973
703,Lavras da Mangabeira,CE,-0.6218161945521484,-0.6484152046040342,2.03181652957051,0.003339193335547634
743,Pindoretama,CE,-0.8760370067860073,-0.7249946220529939,-0.8831666008253374,-0.7759771589761617
97,Cipó,BA,0.33557663025123713,0.06951683397996251,-0.8831666008253374,-0.3889518083348737
64,Caetanos,BA,-0.6644411023927805,-0.7632843307774737,1.196175015967414,-0.12566925687821512
402,Urandi,BA,1.044610515149766,-0.42346316584771526,1.0243608729835996,0.27715304685047254
603,Abaiara,CE,-0.9848985452752566,-1.0121674374865925,1.2567004527003487,1.6646520930270632
693,Itatira,CE,0.47936936914930317,-0.7345670492341139,2.27196584305925,-0.34682660010180827
369,Sebastião Laranjeiras,BA,1.4702279262792548,-0.8925120977225931,1.8287634514987297,1.8594811811049905
781,Umirim,CE,-0.2822571332182689,-1.146181418022272,0.9052624329607285,-0.3336624725289754
590,Toritama,PE,-1.0033053297221448,1.7781950858098747,-0.8831666008253374,-1.239354449539881
378,Sítio do Mato,BA,2.9550881939285416,-0.8015740395019535,2.465256753916041,1.7962933687553924
646,Caucaia,CE,-1.2425935275316922,0.4141242125002808,-0.6137307856916289,-1.3051750874040453
745,Pires Ferreira,CE,1.6245821420459545,-1.146181418022272,2.246584208300278,-0.8602275754422926
717,Mombaça,CE,0.6856340017260667,-1.0887468549355521,1.1864128487524244,1.106493083938947
411,Vera Cruz,BA,-1.2532687045101552,0.8353110084695589,-0.7914022290044367,-1.2235574964524814
77,Candeal,BA,-0.7289974980850241,-0.021421224240677047,-0.6313026866786098,0.2034339324426081
29,Aurelino Leal,BA,-0.7519017535429572,0.2322480960590017,-0.7094000243985253,0.5772951555110635
519,Lajedo,PE,-0.6867894906471013,2.6014238233861913,-0.8343557647503902,-0.7206878231702635
768,Senador Sá,CE,1.3343689283782005,-0.6292703502417942,1.2684150533583356,-0.6390702322186993
354,São Felipe,BA,-0.5886157624818518,-0.06449714655571699,-0.8831666008253374,-0.72332064868483
122,Elísio Medrado,BA,-0.1968557173905649,-0.3038078260837158,-0.6332551201216077,2.217545451086046
619,Aratuba,CE,-0.20467575827774664,-1.0600295733921923,-0.014333718691276977,-0.9892360256560552
465,Cedro,PE,-0.680081184167144,-0.8637948161792333,0.044239284598659646,-0.6338045811895661
350,Santo Antônio de Jesus,BA,-0.374189988688417,1.668112173226995,-0.8460703654083774,-0.8997199581607913
739,Pedra Branca,CE,1.100108802092237,-0.8446499618169934,2.03181652957051,-0.29153726429591
333,Rodelas,BA,1.0255846967715823,-1.141395204431712,-0.6937805568545423,-0.08354404864514971
140,Gongogi,BA,-0.7040971740323015,-0.8015740395019535,-0.18029056134609753,2.5598127679797025
421,Agrestina,PE,-1.1625865502481345,-0.5718357871550745,-0.8831666008253374,-0.6259061046458664
273,Nilo Peçanha,BA,-0.19459434853950583,0.2322480960590017,-0.23495869775003844,0.7168349077830923
776,Tianguá,CE,2.0233915939466875,0.4715587755870006,-0.1881002951180891,-0.6548671853060988
464,Catende,PE,-0.7484023168293072,0.0455857660271627,-0.8831666008253374,-1.131408603442651
141,Governador Mangabeira,BA,-0.9321290609687003,1.3617945034311567,-0.8831666008253374,-0.8997199581607913
532,Ouricuri,PE,0.030304468703805498,-0.3756010299421154,1.1512690467784625,-0.2783731367230771
424,Alagoinha,PE,-0.2581527099343548,-0.8350775346358734,-0.7386865260434936,-0.5179602585486364
243,Mairi,BA,0.38538991170221903,-0.681918699737954,-0.11000295739817356,0.2797858723650391
70,Camaçari,BA,-0.9599729545314607,1.668112173226995,-0.8499752322943733,-0.9681734215395225
503,Itapissuma,PE,-1.0185790444759457,-0.3756010299421154,-0.7425913929294895,-1.15510403307375
609,Altaneira,CE,-0.7528492544582054,-0.9834501559432327,0.2687691305434169,-0.9892360256560552
610,Alto Santo,CE,1.1345220353340515,-1.0217398646677125,-0.055334820994232634,0.7694914180744239
614,Aquiraz,CE,-1.076881934127551,0.179599746562842,-0.7621157273594683,0.10075373737451133
676,Ibicuitinga,CE,0.35452664855620103,1.3282910082972368,0.12624148920457096,-0.4863663523738374
